Sentence,File_Name,Parse_Tree,Processed_Tree,Chunks,Highlight
"In sync with Metzers definition, Dont Want To Miss A Thing continuously increases in the use of strings, drums, guitars, as well as the expressiveness of Steven Tylers vocals, reaching a climax in the transition from bridge to chorus.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (PP (IN In) (NP (NP (NN sync)) (PP (IN with) (NP (NNP Metzers) (NN definition))))) (, ,) (NP (NNP Dont)) (VP (VB Want) (S (VP (TO To) (VP (VB Miss) (NP (DT A) (NN Thing))))) (ADVP (RB continuously)) (VP (VBZ increases) (PP (IN in) (NP (NP (NP (DT the) (NN use)) (PP (IN of) (NP (NNS strings) (, ,) (NNS drums) (, ,) (NNS guitars)))) (, ,) (CONJP (RB as) (RB well) (IN as)) (NP (NP (DT the) (NN expressiveness)) (PP (IN of) (NP (NML (NNP Steven) (NNP Tylers)) (NNS vocals)))))) (, ,) (S (VP (VBG reaching) (NP (DT a) (NN climax)) (PP (IN in) (NP (NP (DT the) (NN transition)) (PP (IN from) (NP (NN bridge))) (PP (IN to) (NP (NN chorus))))))))) (. .)))","(S (PP (IN In) (NP (NP (NN sync)) (PP (IN with) (NP (NNP Metzers) (NN definition))))) (, ,) (NP (NNP Dont)) (VP (VB Want) ","In sync with Metzers definition,Dont Want",0
"At this point of the song, Tylers scratchy, partly shrill and screeching voice expresses a declaration of love in superlatives: I just wanna hold you close/I feel your heart so close to mine/And just stay here in this moment for all the rest of time/yeah, yeah, yeah.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (PP (IN At) (NP (NP (DT this) (NN point)) (PP (IN of) (NP (DT the) (NN song))))) (, ,) (NP (NP (NNP Tylers)) (ADJP (ADJP (JJ scratchy)) (, ,) (ADJP (RB partly) (JJ shrill)) (CC and) (ADJP (VBG screeching))) (NN voice)) (VP (VBZ expresses) (NP (NP (NP (DT a) (NN declaration)) (PP (IN of) (NP (NN love))) (PP (IN in) (NP (NNS superlatives)))) (: :) (S (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP wan) (S (VP (TO na) (VP (VB hold) (NP (PRP you)) (ADJP (JJ close))))))) (, /) (S (NP (PRP I)) (VP (VP (VBP feel) (NP (PRP$ your) (NN heart)) (ADJP (RB so) (RB close) (PP (IN to) (NP (PRP mine))))) (, /) (CC And) (ADVP (RB just)) (VP (VB stay) (ADVP (RB here)) (PP (IN in) (NP (DT this) (NN moment))) (PP (IN for) (NP (NP (NP (PDT all) (DT the) (NN rest)) (PP (IN of) (NP (NN time) (, /) (UH yeah)))) (, ,) (INTJ (UH yeah)) (, ,) (UH yeah))))))))) (. .)))","(S (PP (IN At) (NP (NP (DT this) (NN point)) (PP (IN of) (NP (DT the) (NN song))))) (, ,) (NP (NP (NNP Tylers)) (ADJP (ADJP (JJ scratchy)) (, ,) (ADJP (RB partly) (JJ shrill)) (CC and) (ADJP (VBG screeching))) (NN voice)) (VP (VBZ expresses) (NP (NP (NP (DT a) (NN declaration)) (PP (IN of) (NP (NN love))) (PP (IN in) (NP (NNS superlatives)))) (: :) ","At this point of the song,Tylers scratchy,partly shrill and screeching voice expresses a declaration of love in superlatives:",0
"Such superlatives, similar to forever, only, never, or no-one else, are frequent stylistic devices in the lyrics of sentimental ballads, as our analysis of the 1300 Kuschelrock songs has shown.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (NP (NP (JJ Such) (NNS superlatives)) (, ,) (ADJP (ADJP (JJ similar) (PP (IN to) (ADVP (RB forever)))) (, ,) (ADVP (RB only)) (, ,) (ADVP (RB never)) (, ,) (CC or) (NP (DT no) (NN -one) (RB else)) (, ,))) (VP (VBP are) (NP (JJ frequent) (JJ stylistic) (NNS devices)) (PP (IN in) (NP (NP (DT the) (NNS lyrics)) (PP (IN of) (NP (JJ sentimental) (NNS ballads))))) (, ,) (SBAR (IN as) (S (NP (NP (PRP$ our) (NN analysis)) (PP (IN of) (NP (DT the) (CD 1300) (NNP Kuschelrock) (NNS songs)))) (VP (VBZ has) (VP (VBN shown)))))) (. .)))","(S (NP (NP (JJ Such) (NNS superlatives)) (, ,) (ADJP (ADJP (JJ similar) (PP (IN to) (ADVP (RB forever)))) (, ,) (ADVP (RB only)) (, ,) (ADVP (RB never)) (, ,) (CC or) (NP (DT no) (NN -one) (RB else)) (, ,))) (VP (VBP are) (NP (JJ frequent) (JJ stylistic) (NNS devices)) (PP (IN in) (NP (NP (DT the) (NNS lyrics)) (PP (IN of) (NP (JJ sentimental) (NNS ballads))))) (, ,) (SBAR (IN as) ","uch superlatives,similar to forever,only,never,or no-one else,are frequent stylistic devices in the lyrics of sentimental ballads,as",1
"Moreover, the fact that the protagonist of this escalation elsewhere repeatedly addresses the missing of the beloved reveals the combination of the sorrow of sentimentality and the stimulation of uplift characteristic of a power ballad .",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (ADVP (RB Moreover)) (, ,) (NP (DT the) (NN fact) (SBAR (IN that) (S (NP (NP (DT the) (NN protagonist)) (PP (IN of) (NP (NP (DT this) (NN escalation)) (ADVP (RB elsewhere))))) (ADVP (RB repeatedly)) (VP (VBZ addresses) (NP (NP (DT the) (NN missing)) (PP (IN of) (NP (DT the) (NN beloved)))))))) (VP (VBZ reveals) (NP (NP (DT the) (NN combination)) (PP (IN of) (NP (NP (NP (DT the) (NN sorrow)) (PP (IN of) (NP (NN sentimentality)))) (CC and) (NP (NP (DT the) (NN stimulation)) (PP (IN of) (NP (NP (NN uplift) (NN characteristic)) (PP (IN of) (NP (DT a) (NN power) (NN ballad)))))))))) (. .)))","(S (ADVP (RB Moreover)) (, ,) (NP (DT the) (NN fact) (SBAR (IN that) ","Moreover,the fact that",1
"Said combination is underscored visually in the music video, which collages the bands performance with clips from the film Armageddon.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (VP (VBN Said) (SBAR (S (NP (NN combination)) (VP (VBZ is) (VP (VBN underscored) (ADVP (RB visually)) (PP (IN in) (NP (NP (DT the) (NN music) (NN video)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ collages) (NP (DT the) (NNS bands) (NN performance)) (PP (IN with) (NP (NP (NNS clips)) (PP (IN from) (NP (NP (DT the) (NN film)) (NP (NNP Armageddon)))))))))))))))) (. .)))",(S (VP (VBN Said) (SBAR,aid,0
"While the video expresses a sense of sentimentality through farewell scenes of the film plot, ecstasy receives its visual equivalent in the launch of a rocket.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (SBAR (IN While) (S (NP (DT the) (NN video)) (VP (VBZ expresses) (NP (NP (DT a) (NN sense)) (PP (IN of) (NP (NN sentimentality)))) (PP (IN through) (NP (NP (NN farewell) (NNS scenes)) (PP (IN of) (NP (DT the) (NN film) (NN plot)))))))) (, ,) (NP (NN ecstasy)) (VP (VBZ receives) (NP (PRP$ its) (JJ visual) (NN equivalent)) (PP (IN in) (NP (NP (DT the) (NN launch)) (PP (IN of) (NP (DT a) (NN rocket)))))) (. .)))",(S (SBAR (IN While),While,1
"A rocket launch enables various associations, such as a high degree of technical specialization , the space race between the Soviet Union and the USA in the 1960s, or todays new space imperialism of super-rich tycoons, such as Elon Musk and Jeff Bezos.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (NP (DT A) (NN rocket) (NN launch)) (VP (VBZ enables) (NP (NP (JJ various) (NNS associations)) (, ,) (PP (JJ such) (IN as) (NP (NP (NP (DT a) (JJ high) (NN degree)) (PP (IN of) (NP (JJ technical) (NN specialization)))) (, ,) (NP (NP (DT the) (NN space) (NN race)) (PP (IN between) (NP (NP (DT the) (NNP Soviet) (NNP Union)) (CC and) (NP (DT the) (NNP USA)))) (PP (IN in) (NP (DT the) (NNS 1960s)))) (, ,) (CC or) (NP (NP (JJ todays)) (NP (NP (JJ new) (NN space) (NN imperialism)) (PP (IN of) (NP (NP (ADJP (RB super) (HYPH -) (JJ rich)) (NNS tycoons)) (, ,) (PP (JJ such) (IN as) (NP (NP (NNP Elon) (NNP Musk)) (CC and) (NP (NNP Jeff) (NNP Bezos)))))))))))) (. .)))","(S (NP (DT A) (NN rocket) (NN launch)) (VP (VBZ enables) (NP (NP (JJ various) (NNS associations)) (, ,) (PP (JJ such) (IN as) (NP (NP (NP (DT a) (JJ high) (NN degree)) (PP (IN of) (NP (JJ technical) (NN specialization)))) (, ,) (NP (NP (DT the) (NN space) (NN race)) (PP (IN between) (NP (NP (DT the) (NNP Soviet) (NNP Union)) (CC and) (NP (DT the) (NNP USA)))) (PP (IN in) (NP (DT the) (NNS 1960s)))) (, ,) (CC or) (NP (NP (JJ todays)) (NP (NP (JJ new) (NN space) (NN imperialism)) (PP (IN of) (NP (NP (ADJP (RB super) (HYPH -) (JJ rich)) (NNS tycoons)) (, ,) (PP (JJ such) (IN as) (NP (NP (NNP Elon) (NNP Musk)) (CC and) (NP (NNP Jeff) (NNP Bezos)))))))))))) (. .)))","A rocket launch enables various associations,such as a high degree of technical specialization,the space race between the oviet Union and the UA in the 1960s,or todays new space imperialism of super-rich tycoons,such as Elon Musk and Jeff Bezos.",0
"Not least with the last example, rockets are often plausibly interpreted as phallic symbols in journalistic coverage .",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (PP (ADVP (RB Not) (JJS least)) (IN with) (NP (DT the) (JJ last) (NN example))) (, ,) (NP (NNS rockets)) (VP (VBP are) (ADVP (RB often)) (ADVP (RB plausibly)) (VP (VBN interpreted) (PP (IN as) (NP (NP (JJ phallic) (NNS symbols)) (PP (IN in) (NP (JJ journalistic) (NN coverage))))))) (. .)))","(S (PP (ADVP (RB Not) (JJS least)) (IN with) (NP (DT the) (JJ last) (NN example))) (, ,) (NP (NNS rockets)) (VP (VBP are) (ADVP (RB often)) (ADVP (RB plausibly)) (VP (VBN interpreted) (PP (IN as) (NP (NP (JJ phallic) (NNS symbols)) (PP (IN in) (NP (JJ journalistic) (NN coverage))))))) (. .)))","Not least with the last example,rockets are often plausibly interpreted as phallic symbols in journalistic coverage.",1
"At the same time, rocket launches are accompanied by highly emotional media coverage and usually by passionately applauding audiences at the respective locations.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (PP (IN At) (NP (DT the) (JJ same) (NN time))) (, ,) (NP (NN rocket) (NNS launches)) (VP (VBP are) (VP (VBN accompanied) (PP (PP (IN by) (NP (ADJP (RB highly) (JJ emotional)) (NN media) (NN coverage))) (CC and) (ADVP (RB usually)) (PP (IN by) (S (ADVP (RB passionately)) (VP (VBG applauding) (NP (NNS audiences)) (PP (IN at) (NP (DT the) (JJ respective) (NNS locations))))))))) (. .)))","(S (PP (IN At) (NP (DT the) (JJ same) (NN time))) (, ,) (NP (NN rocket) (NNS launches)) (VP (VBP are) (VP (VBN accompanied) (PP (PP (IN by) (NP (ADJP (RB highly) (JJ emotional)) (NN media) (NN coverage))) (CC and) (ADVP (RB usually)) (PP (IN by) ","At the same time,rocket launches are accompanied by highly emotional media coverage and usually by",0
"On an auditory level, a rocket launch is accompanied by an enormous noise, which is replaced here by the songs loudness peak.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (PP (IN On) (NP (DT an) (JJ auditory) (NN level))) (, ,) (NP (DT a) (NN rocket) (NN launch)) (VP (VBZ is) (VP (VBN accompanied) (PP (IN by) (NP (NP (DT an) (JJ enormous) (NN noise)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (VP (VBN replaced) (ADVP (RB here)) (PP (IN by) (NP (DT the) (NNS songs) (NN loudness) (NN peak))))))))))) (. .)))","(S (PP (IN On) (NP (DT an) (JJ auditory) (NN level))) (, ,) (NP (DT a) (NN rocket) (NN launch)) (VP (VBZ is) (VP (VBN accompanied) (PP (IN by) (NP (NP (DT an) (JJ enormous) (NN noise)) (, ,) (SBAR (WHNP (WDT which)) ","On an auditory level,a rocket launch is accompanied by an enormous noise,which",0
"The music even delays the actual take-off by inserting a full additional bar before delivering the chorus in its loudest version, hence emphasizing the ecstatic nature of the performed climax.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (NP (DT The) (NN music)) (ADVP (RB even)) (VP (VBZ delays) (NP (DT the) (JJ actual) (NN take) (HYPH -) (RP off)) (PP (IN by) (S (VP (VBG inserting) (NP (DT a) (JJ full) (JJ additional) (NN bar)) (PP (IN before) (S (VP (VBG delivering) (NP (DT the) (NN chorus)) (PP (IN in) (NP (PRP$ its) (JJS loudest) (NN version))))))))) (, ,) (S (ADVP (RB hence)) (VP (VBG emphasizing) (NP (NP (DT the) (JJ ecstatic) (NN nature)) (PP (IN of) (NP (DT the) (VBN performed) (NN climax))))))) (. .)))",(S (NP (DT The) (NN music)) (ADVP (RB even)) (VP (VBZ delays) (NP (DT the) (JJ actual) (NN take) (HYPH -) (RP off)) (PP (IN by),The music even delays the actual take-off by,1
"Reading such audiovisual ecstasy in terms of sexual desire would clearly associate it with a phallic version of erotic pleasure that, while far from being universal, comes into line with the discursive practices associated with imperialism, capitalist expansion, and scientific risk-taking that Susan McClary has plausibly identified as dominating strands of European-American modernity .",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (S (VP (VBG Reading) (NP (JJ such) (JJ audiovisual) (NN ecstasy)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (JJ sexual) (NN desire))))))) (VP (MD would) (ADVP (RB clearly)) (VP (VB associate) (NP (PRP it)) (PP (IN with) (NP (NP (NP (DT a) (JJ phallic) (NN version)) (PP (IN of) (NP (JJ erotic) (NN pleasure)))) (SBAR (WHNP (WDT that)) (, ,) (SBAR (IN while) (S (ADVP (RB far) (PP (IN from) (S (VP (VBG being) (ADJP (JJ universal)))))))) (, ,) (VP (VBZ comes) (PP (IN into) (NP (NN line))) (PP (IN with) (NP (NP (DT the) (JJ discursive) (NNS practices)) (VP (VBN associated) (PP (IN with) (NP (NP (NN imperialism)) (, ,) (NP (NN capitalist) (NN expansion)) (, ,) (CC and) (NP (NP (JJ scientific) (NN risk) (HYPH -) (VBG taking)) (SBAR (WHNP (IN that)) (S (NP (NNP Susan) (NNP McClary)) (VP (VBZ has) (ADVP (RB plausibly)) (VP (VBN identified) (PP (IN as) (S (VP (VBG dominating) (NP (NP (NNS strands)) (PP (IN of) (NP (ADJP (JJ European) (HYPH -) (JJ American)) (NN modernity))))))))))))))))))))))) (. .)))","(S (VP (VBG Reading) (NP (JJ such) (JJ audiovisual) (NN ecstasy)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (JJ sexual) (NN desire))))))) (VP (MD would) (ADVP (RB clearly)) (VP (VB associate) (NP (PRP it)) (PP (IN with) (NP (NP (NP (DT a) (JJ phallic) (NN version)) (PP (IN of) (NP (JJ erotic) (NN pleasure)))) (SBAR (WHNP (WDT that)) (, ,) (SBAR (IN while) ","Reading such audiovisual ecstasy in terms of sexual desire would clearly associate it with a phallic version of erotic pleasure that,while",0
"While McClary critically reveals narratives of androcentric sexual power in classical music, she carefully circumvents stereotypical associations of aggression with rock music by stating that said narratives turn violent more often and more devastatingly in nineteenth-century symphonies than in heavy metal .",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (SBAR (IN While) (S (NP (NNP McClary)) (ADVP (RB critically)) (VP (VBZ reveals) (NP (NP (NNS narratives)) (PP (IN of) (NP (JJ androcentric) (JJ sexual) (NN power))) (PP (IN in) (NP (JJ classical) (NN music))))))) (, ,) (NP (PRP she)) (ADVP (RB carefully)) (VP (VBZ circumvents) (NP (NP (JJ stereotypical) (NNS associations)) (PP (IN of) (NP (NN aggression))) (PP (IN with) (NP (NN rock) (NN music)))) (PP (IN by) (S (VP (VBG stating) (SBAR (IN that) (S (VP (VBD said) (SBAR (S (NP (NNS narratives)) (VP (VBP turn) (ADJP (JJ violent)) (ADVP (ADVP (RBR more) (RB often)) (CC and) (ADVP (RBR more) (RB devastatingly))) (PP (IN in) (NP (NML (JJ nineteenth) (HYPH -) (NN century)) (NNS symphonies))) (PP (IN than) (PP (IN in) (NP (JJ heavy) (NN metal)))))))))))))) (. .)))",(S (SBAR (IN While),While,0
"However, apart from heavy metals relation to sexual violence being diverse and complex , it is clear that the combination of a power ballad climax with the pictures of launching a heroic rocket mission connects the video of Dont Want To Miss A Thing with narratives of male power that have been well established in the cultures of the Global North.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (ADVP (RB However)) (, ,) (ADVP (RB apart) (PP (IN from) (NP (NP (JJ heavy) (NNS metals) (NN relation)) (PP (IN to) (NP (NP (JJ sexual) (NN violence)) (VP (VBG being) (ADJP (JJ diverse) (CC and) (JJ complex)))))))) (, ,) (NP (NP (PRP it))) (VP (VBZ is) (ADJP (JJ clear)) (SBAR (IN that) (S (NP (NP (DT the) (NN combination)) (PP (IN of) (NP (NP (DT a) (NN power) (NN ballad) (NN climax)) (PP (IN with) (NP (NP (DT the) (NNS pictures)) (PP (IN of) (S (VP (VBG launching) (NP (DT a) (JJ heroic) (NN rocket) (NN mission)))))))))) (VP (VBZ connects) (NP (NP (DT the) (NN video)) (PP (IN of) (NP (NNP Dont) (NNP Want)))) (S (VP (TO To) (VP (VB Miss) (NP (DT A) (NNP Thing)) (PP (IN with) (NP (NP (NP (NNS narratives)) (PP (IN of) (NP (JJ male) (NN power)))) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (VBN been) (ADVP (RB well)) (VP (VBN established) (PP (IN in) (NP (NP (DT the) (NNS cultures)) (PP (IN of) (NP (DT the) (NNP Global) (NNP North))))))))))))))))))) (. .)))","(S (ADVP (RB However)) (, ,) (ADVP (RB apart) (PP (IN from) (NP (NP (JJ heavy) (NNS metals) (NN relation)) (PP (IN to) (NP (NP (JJ sexual) (NN violence)) (VP (VBG being) (ADJP (JJ diverse) (CC and) (JJ complex)))))))) (, ,) (NP (NP (PRP it))) (VP (VBZ is) (ADJP (JJ clear)) (SBAR (IN that) ","However,apart from heavy metals relation to sexual violence being diverse and complex,it is clear that",1
"Interestingly, the songs masculine-connoted power symbolism contrasts the senti- mentality of the lyrics and the emotional expressivity of the music as well as the gender ambiguity of Steven Tylers performance.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (ADVP (RB Interestingly)) (, ,) (NP (NP (DT the) (NNS songs)) (ADJP (JJ masculine) (HYPH -) (VBN connoted)) (NN power) (NN symbolism)) (VP (VBZ contrasts) (NP (NP (NP (DT the) (NN senti-) (NN mentality)) (PP (IN of) (NP (DT the) (NNS lyrics)))) (CC and) (NP (NP (NP (DT the) (JJ emotional) (NN expressivity)) (PP (IN of) (NP (DT the) (NN music)))) (CONJP (RB as) (RB well) (IN as)) (NP (NP (DT the) (NN gender) (NN ambiguity)) (PP (IN of) (NP (NML (NNP Steven) (NNP Tylers)) (NN performance))))))) (. .)))","(S (ADVP (RB Interestingly)) (, ,) (NP (NP (DT the) (NNS songs)) (ADJP (JJ masculine) (HYPH -) (VBN connoted)) (NN power) (NN symbolism)) (VP (VBZ contrasts) (NP (NP (NP (DT the) (NN senti-) (NN mentality)) (PP (IN of) (NP (DT the) (NNS lyrics)))) (CC and) (NP (NP (NP (DT the) (JJ emotional) (NN expressivity)) (PP (IN of) (NP (DT the) (NN music)))) (CONJP (RB as) (RB well) (IN as)) (NP (NP (DT the) (NN gender) (NN ambiguity)) (PP (IN of) (NP (NML (NNP Steven) (NNP Tylers)) (NN performance))))))) (. .)))","Interestingly,the songs masculine-connoted power symbolism contrasts the senti-mentality of the lyrics and the emotional expressivity of the music as well as the gender ambiguity of  teven Tylers performance.",0
"The singers exalted gestures and facial expressions, especially the play of closed eyes and his demanding gaze into the camera as well as his extravagant mouth movements, can be read as appropriations of the elements of appearance that have been associated with womens function as objects of the male gaze, revealing androgyny in heavy metal .",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (NP (DT The) (NNS singers)) (VP (VBD exalted) (SBAR (NP (NP (NP (NP (NNS gestures)) (CC and) (NP (JJ facial) (NNS expressions))) (, ,) (NP (NP (ADVP (RB especially)) (NP (DT the) (NN play)) (PP (IN of) (NP (VBN closed) (NNS eyes)))) (CC and) (NP (NP (PRP$ his) (VBG demanding) (NN gaze)) (PP (PP (IN into) (NP (DT the) (NN camera))) (CONJP (RB as) (RB well) (IN as)) (NP (PRP$ his) (JJ extravagant) (NN mouth) (NNS movements))))) (, ,)) (VP (MD can) (VP (VB be) (VP (VBN read) (PP (IN as) (NP (NP (NNS appropriations)) (PP (IN of) (NP (NP (NP (DT the) (NNS elements)) (PP (IN of) (NP (NN appearance)))) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (VBN been) (VP (VBN associated) (PP (IN with) (NP (NP (NNS womens)) (VP (NN function) (PP (IN as) (NP (NP (NNS objects)) (PP (IN of) (NP (DT the) (JJ male) (NN gaze)))))))) (, ,) (S (VP (VBG revealing) (NP (NN androgyny)) (PP (IN in) (NP (JJ heavy) (NN metal)))))))))))))))))))) (. .)))","(S (NP (DT The) (NNS singers)) (VP (VBD exalted) (SBAR (NP (NP (NP (NP (NNS gestures)) (CC and) (NP (JJ facial) (NNS expressions))) (, ,) (NP (NP (ADVP (RB especially)) (NP (DT the) (NN play)) (PP (IN of) (NP (VBN closed) (NNS eyes)))) (CC and) (NP (NP (PRP$ his) (VBG demanding) (NN gaze)) (PP (PP (IN into) (NP (DT the) (NN camera))) (CONJP (RB as) (RB well) (IN as)) (NP (PRP$ his) (JJ extravagant) (NN mouth) (NNS movements))))) (, ,)) (VP (MD can) (VP (VB be) (VP (VBN read) (PP (IN as) (NP (NP (NNS appropriations)) (PP (IN of) (NP (NP (NP (DT the) (NNS elements)) (PP (IN of) (NP (NN appearance)))) (SBAR (WHNP (WDT that)) ","The singers exalted gestures and facial expressions,especially the play of closed eyes and his demanding gaze into the camera as well as his extravagant mouth movements,can be read as appropriations of the elements of appearance that",0
"To this degree, Tylers performance is consistent with photographs and concert videos of Aerosmith from the 1970s and 1980s, which show him in tight-fitting, strikingly patterned, low-cut clothing, with black make-up on his eyes; at concerts he moves expansively across the stage.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (S (PP (IN To) (NP (DT this) (NN degree))) (, ,) (NP (NNP Tylers) (NN performance)) (VP (VBZ is) (ADJP (JJ consistent) (PP (IN with) (NP (NP (NP (NP (NNS photographs)) (CC and) (NP (NP (NN concert) (NNS videos)) (PP (IN of) (NP (NNP Aerosmith))))) (PP (IN from) (NP (DT the) (NNS 1970s) (CC and) (NNS 1980s)))) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBP show) (NP (PRP him)) (PP (IN in) (NP (ADJP (JJ tight) (HYPH -) (JJ fitting)) (, ,) (ADJP (RB strikingly) (JJ patterned)) (, ,) (ADJP (JJ low) (HYPH -) (VBN cut)) (NN clothing))) (, ,) (PP (IN with) (NP (NP (JJ black) (NN make) (HYPH -) (RB up)) (PP (IN on) (NP (PRP$ his) (NNS eyes))))))))))))) (: ;) (S (PP (IN at) (NP (NNS concerts))) (NP (PRP he)) (VP (VBZ moves) (ADVP (RB expansively)) (PP (IN across) (NP (DT the) (NN stage))))) (. .)))","(S (PP (IN To) (NP (DT this) (NN degree))) (, ,) (NP (NNP Tylers) (NN performance)) (VP (VBZ is) (ADJP (JJ consistent) (PP (IN with) (NP (NP (NP (NP (NNS photographs)) (CC and) (NP (NP (NN concert) (NNS videos)) (PP (IN of) (NP (NNP Aerosmith))))) (PP (IN from) (NP (DT the) (NNS 1970s) (CC and) (NNS 1980s)))) (, ,) (SBAR (WHNP (WDT which)) ","To this degree,Tylers performance is consistent with photographs and concert videos of Aerosmith from the 1970s and 1980s,which",0
"Hence, the video for Dont Want To Miss A Thing combines expressions of sentimentality and uplift with a culturally established heavy metal androgyny that allows for the inclusion of feminine elements without destabilizing heteronormative masculinity.",cleaned_Fulltext_Metal Ballads as.txt,"(ROOT (S (ADVP (RB Hence)) (, ,) (NP (NP (DT the) (NN video)) (PP (IN for) (NP (NNP Dont)))) (VP (VBP Want) (S (VP (TO To) (VP (VB Miss) (NP (DT A) (NN Thing)))))) (VP (VBZ combines) (NP (NP (NNS expressions)) (PP (IN of) (NP (NN sentimentality) (CC and) (NN uplift))) (PP (IN with) (NP (NP (DT a) (ADJP (RB culturally) (VBN established)) (NML (JJ heavy) (NN metal)) (NN androgyny)) (SBAR (WHNP (WDT that)) (S (VP (VBZ allows) (PP (IN for) (NP (NP (DT the) (NN inclusion)) (PP (IN of) (NP (NP (JJ feminine) (NNS elements)) (PP (IN without) (NP (VBG destabilizing) (JJ heteronormative) (NN masculinity)))))))))))))) (. .)))","(S (ADVP (RB Hence)) (, ,) (NP (NP (DT the) (NN video)) (PP (IN for) (NP (NNP Dont)))) (VP (VBP Want) ","Hence,the video for Dont Want",1
The question remains concerning the extent to which such a reading of the song and video as a heteromasculine articulation of ecstatic love or loving ecstasy is consistent with Aerosmiths reception.,cleaned_Fulltext_Metal Ballads as.txt,(ROOT (S (NP (DT The) (NN question)) (VP (VBZ remains) (PP (VBG concerning) (NP (NP (DT the) (NN extent)) (SBAR (WHPP (IN to) (WHNP (WDT which))) (S (NP (NP (PDT such) (DT a) (NN reading)) (PP (IN of) (NP (DT the) (NN song) (CC and) (NN video))) (PP (IN as) (NP (NP (DT a) (NN heteromasculine) (NN articulation)) (PP (IN of) (NP (NP (JJ ecstatic) (NN love)) (CC or) (NP (JJ loving) (NN ecstasy))))))) (VP (VBZ is) (ADJP (JJ consistent) (PP (IN with) (NP (NNP Aerosmiths) (NN reception)))))))))) (. .))),(S (NP (DT The) (NN question)) (VP (VBZ remains) (PP (VBG concerning) (NP (NP (DT the) (NN extent)) (SBAR (WHPP (IN to) (WHNP (WDT which))),The question remains concerning the extent to which,0
The appearance of Steven Tylers stage persona has been part of the discourse sur- rounding Aerosmith since the band became popular to a larger audience with their third album Toys In The Attic reaching number 11 of the Billboard Hot 200 in 1975.,cleaned_Fulltext_Metal Ballads as.txt,(ROOT (S (NP (NP (DT The) (NN appearance)) (PP (IN of) (NP (NML (NNP Steven) (NNP Tylers)) (NN stage) (NN persona)))) (VP (VBZ has) (VP (VBN been) (NP (NP (NN part)) (PP (IN of) (NP (NP (DT the) (NN discourse)) (VP (NN sur-) (VP (VBG rounding) (NP (NNP Aerosmith)) (SBAR (IN since) (S (NP (DT the) (NN band)) (VP (VBD became) (ADJP (JJ popular)) (PP (IN to) (NP (NP (DT a) (JJR larger) (NN audience)) (PP (IN with) (S (NP (NP (PRP$ their) (JJ third) (NN album) (NNPS Toys)) (PP (IN In) (NP (DT The) (NNP Attic)))) (VP (VBG reaching) (NP (NP (NN number) (CD 11)) (PP (IN of) (NP (DT the) (NNP Billboard) (NNP Hot) (CD 200)))) (PP (IN in) (NP (CD 1975)))))))))))))))))) (. .))),(S (NP (NP (DT The) (NN appearance)) (PP (IN of) (NP (NML (NNP Steven) (NNP Tylers)) (NN stage) (NN persona)))) (VP (VBZ has) (VP (VBN been) (NP (NP (NN part)) (PP (IN of) (NP (NP (DT the) (NN discourse)) (VP (NN sur-) (VP (VBG rounding) (NP (NNP Aerosmith)) (SBAR (IN since),The appearance of  teven Tylers stage persona has been part of the discourse sur-rounding Aerosmith since,0
