Paragraph,Chunk,result
"To be sure, these considerations are not decisive in favour of ontological anti-realism, since (as noted in the previous section) the proposed framework concerns only the bearings of our practices on our ontological beliefs. Agnostic or anti-realist fictionalists may look beyond our practices when explicating the relevant existence claims. For instance, we may suppose that our mathematical theories yield sufficient information about what numbers would be like if they exist, such that their existence comes down to a matter of whether any- thing in the world is sufficiently number-like. Instead of considering just what we do with numbers, then, we can also determine the existence of numbers by empirical investigation. And, anti-realism about numbers can be understood as the view that nothing in the world bears the required properties to be numbers (and similarly for agnosticism). While such an approach is certainly possible, it depends on an additional supposition about the ontology of numbers to which fictionalists are not necessarily committed. There does not seem to be anything within the fictionalist view suggesting that fictionalists should take the existence of numbers to be reducible to an empirical matter, even if nothing within fictionalism rules out such a possibility. In contrast, the proposed framework and its application above depend on considerations that align with the usual arguments and motivations for fictionalism. Hence, we might expect fictionalists to lean naturally, even if not decisively, to ontological anti-realism.","There does not seem to be anything within the fictionalist view suggesting that fictionalists should take the existence of numbers to be reducible to an empirical matter, even if nothing within fictionalism rules out such a possibility. 
 In contrast, the proposed framework and its application above depend on considerations that align with the usual arguments and motivations for fictionalism. 
 we might expect fictionalists to lean naturally, even if not decisively, to ontological anti-realism. 
","the proposed framework concerns only the bearings of our practices when explicating the relevant existence claims. we may suppose that our mathematical theories yield sufficient information about what numbers would be like if they exist, such that their existence comes down to a"
"Ethical clearance was secured from the Addis Ababa University, School of Public Health and IRB of the Faculty of Medicine. Persons between 15 and 18 years in Ethiopia are regarded ‘Consenting Minors’ and can be interviewed without parental consent. Verbal informed consent was obtained from each respondent after explaining the purpose of the study. Participants were assured that participation is voluntary, the information they provide will be kept completely anonymous and confidential. Students were also informed the possibility of opting out at any time if they feel to do so.","
",Persons between 15 and 18 years in Ethiopia are regarded ‘Consenting Minors’ and can be interviewed without parental consent.
The source of Cd in mineral fertilisers is the raw material phosphate rock. The European average Cd content in mineral fertilisers is reported as 68 mg Cd/kg P [170] or 83 mg Cd/kg P [171]. The content of Cd in farmyard manure is variable but apparently in many cases lower: Various types of animal manure in a German collection averaged between 14 and 37 mg Cd/kg P [172].,"
",The source of Cd in mineral fertilisers is the raw material phosphate rock. The content of Cd in farmyard manure is variable but apparently in many cases lower
"Table 3 shows the odds ratios (ORs) of exceeding the screen-time guideline of 2 h per day. Higher-grade students (whole week, OR: 2.09, 95% confidence interval [CI]: 1.32–3.30; weekday, OR: 2.08, 95% CI: 1.45 − 3.00; and weekend, OR: 1.88, 95% CI: 1.29 − 2.74) were significantly more likely to spend >2 h per day of total screen time than lower-grade students. No significant relationship was observed for sex.","Higher-grade students 
 were significantly more likely to spend >2 h per day of total screen time than lower-grade students. 
",Higher-grade students were significantly more likely to spend >2 h per day of total screen time than lower-grade students. No significant relationship was observed for sex.
"The study also looked into familial factors that might be associated with anal and oral sex practices. Oral sex practice was less likely among students living with both parents (AOR = 0.4; 95%CI 0.2-0.9). On the other hand students having illiterate mothers were more likely to be involved in oral sex (AOR = 11.5; 95%CI 6.4-18.5). (See Table 4). Likewise, students living with both parents were less likely to have anal sex (AOR = 0.4; 95%CI 0.2- 0.9); and students having illiterate mothers were more likely to engage in anal sex (AOR = 11.6; 95%CI 7.8- 19.6). Students whose fathers are illiterate were more likely to have anal sex than their counterparts (AOR = 7.8; 95%CI 5.3-14.9) (See Table 5).","Oral sex practice was less likely among students living with both parents 
 On the other hand students having illiterate mothers were more likely to be involved in oral sex 
 students living with both parents were less likely to have anal sex 
  and students having illiterate mothers were more likely to engage in anal sex 
 Students whose fathers are illiterate were more likely to have anal sex than their counterparts 
",The study also looked into familial factors that might be associated with anal and oral sex practices. Oral sex practice was less likely among students living with both parents students having illiterate mothers were more likely to be
"To give a straightforward (if slightly contrived) example, suppose that our concept of a geographical North Pole is intended to help us locate a point on Earth. Further suppose that we would be able to locate this point regardless of whether the North Pole exists. That is, even if nothing in the world bears sufficiently many of the properties associated with our concept of the North Pole, we would still be able to locate the point we presently call ‘the North Pole.’ In this case, how does our practice of navigation bear on what we should say regarding the existence of the North Pole? Given that the existence of the North Pole makes no difference whatsoever to our navigation, it seems unclear how we would even understand the existence of the North Pole in terms of our navigation practices, much less decide on those grounds whether to say that the North Pole exists. It might be more natural in this case to say that if our practices inform our ontological beliefs about the North Pole at all, they give us reason to say that there is no fact of the matter regarding the North Pole’s existence.","
",suppose that our concept of a geographical North Pole is intended to help us locate a point on Earth. Further suppose that we would be able to locate this point regardless of whether the North Pole exists. Given that the existence of the North
"To further assess the taxonomic bias introduced by the use of the different primer pairs, we separated the amplified sequences from selected analyses into the groups 'ascomycetes', 'basidomycetes' and 'non-dikarya' based on their taxonomic identification number, using the ecoGrep tool. These selected analyses were (1) the three subsets, and (2) all internal amplifications within each subset with one mismatch allowed. The amplification length was reported for each analysis.","To further assess the taxonomic bias introduced by the use of the different primer pairs, we separated the amplified sequences from selected analyses into the groups 'ascomycetes', 'basidomycetes' and 'non-dikarya' based on their taxonomic identification number, using the ecoGrep tool. 
 These selected analyses were (1) the three subsets, and (2) all internal amplifications within each subset with one mismatch allowed. 
","To further assess the taxonomic bias introduced by the use of the different primer pairs, we separated the amplified sequences from selected analyses into the groups 'ascomycetes', 'basidomy"
"Unprotected vaginal-penile intercourse has been known to be the predominant route for HIV and STIs transmission [2-4,11]. However, it is becoming evident that youth are involved in oral and anal intercourse [12-14]. Although the oral and anal sex behaviors of youth have been researched in the United States (US) for more than two decades [15-18], it was only recently that research evidences in some parts of Africa revealed the practice of oral and anal sex [19].","Unprotected vaginal-penile intercourse has been known to be the predominant route for HIV and STIs transmission 
","Unprotected vaginal-penile intercourse has been known to be the predominant route for HIV and STIs transmission however, it is becoming evident that youth are involved in oral and anal intercourse"
"Among peer level factors, perception of involvement of best friends in oral sex was significantly associated with oral sex practice (AOR = 5.7; 95%CI 3.6-11.2). (See Table 4). Similarly, students who perceived their best friends are engaged in anal sex were more likely to have anal sexual activity (AOR = 9.7; 95%CI 5.4-17.7). (See Table 5).","students who perceived their best friends are engaged in anal sex were more likely to have anal sexual activity 
","Among peer level factors, perception of involvement of best friends in oral sex was significantly associated with oral sex practice students who perceived their best friends are engaged in anal sex were more likely to have anal sexual activity"
"A basic idea underlying 2, I take it, is that expectations are properly made only of those who can understand and comply with them. Another is that the most we can reasonably expect of people, whether morally or otherwise, is that they do their best, even if their best falls short of some ideal. To further illustrate this second idea, consider two more examples. Imagine you assign a speech to your public speaking class. You have a student with a diagnosed fluency disorder, who can’t help sometimes stuttering or repeating certain utterances. Knowing this about the student, would it not be unreasonable to expect the student to completely avoid stuttering or repeating himself during his speech? Surely the most you could reasonably expect of him is that he communicate as clearly as he can. Or suppose a friend promises to meet you for lunch but through no fault of her own gets stuck in traffic and thus can’t avoid being late. Knowing this, it seems entirely unreasonable of you to continue to insist that your friend arrive on time. The most you could reasonably expect of her, it seems, is that she get there as fast as she (safely) can.","A basic idea underlying 2, I take it, is that expectations are properly made only of those who can understand and comply with them. 
 Another is that the most we can reasonably expect of people, whether morally or otherwise, is that they do their best, even if their best falls short of some ideal. 
","A basic idea underlying 2, I take it, is that expectations are properly made only of those who can understand and comply with them. Another is that the most we can reasonably expect of people, whether morally or otherwise, is that they do"
"Following the principle of theoretical sampling, we draw on the three songs as a “chain of selection decisions building on each other” (Strübing 2004, p. 30) that is based on contrasting criteria. The criteria for our selection were the assignment of the performers in the relevant discourse to the genres of heavy metal or hard rock, the gender of the performers and their gender performance, the representation of love in the songs, and the coverage of a broader temporal spectrum of the performers’ popularity (Aerosmith has been popular since the early 1970s, Evanescence since the early 2000s). While providing contrasting aspects, the three selected ballads are all products by U.S. bands established within the global proliferation of American rock and metal music. By looking at a part of the German discourse in music criticism, we study the popularity of those ballads in a locally determined focus.","The criteria for our selection were the assignment of the performers in the relevant discourse to the genres of heavy metal or hard rock, the gender of the performers and their gender performance, the representation of love in the songs, and the coverage of a broader temporal spectrum of the performers’ popularity 
","Following the principle of theoretical sampling, we draw on the three songs as a “chain of selection decisions building on each other” that is based on contrasting criteria. The criteria for our selection were the assignment of the performers in the relevant"
"Many charts have been published on fetal growth using different methodologies from the early 1990s until early in this decade, after which new (dating) protocols emerged [11]. Most normal ranges were designed from crosssectional data [12–19], which by their nature may represent fetal size at a given point but do not directly infer growth. To derive information on fetal growth, statistical strategies using repeat measurements are required but longitudinal methodologies are utilized more rarely [20, 21]. Given these complexities, the World Health Organization (WHO) Multicentre Growth Reference Study (MGRS) Group recommended Generalized Additive Model for Location, Scale and Shape (GAMLSS) for the construction of the WHO Growth Standards [22, 23]. Most recently, growth charts have been developed in the regions of Europe and the USA and customization based on ethnicity is reported [11, 12, 18, 19, 24].","To derive information on fetal growth, statistical strategies using repeat measurements are required but longitudinal methodologies are utilized more rarely 
 the World Health Organization 
 Multicentre Growth Reference Study 
 Group recommended Generalized Additive Model for Location, Scale and Shape 
 for the construction of the WHO Growth Standards 
","Most normal ranges were designed from crosssectional data which by their nature may represent fetal size at a given point but do not directly infer growth. To derive information on fetal growth, statistical strategies using repeat measurements"
"The above reported results are from a Ni foam supported approach where the electrochromic properties of the catalyst can be used to study the state or the health of the cathodic catalyst by viewing the surface color. However, reflectance modulations are typically rather small, and a much better sensitivity would be achieved by using a transmitting substrate. Furthermore, in order to thoroughly analyze the coloration efficiency and the electrochromic effect, a transparent electrode was also applied. In addition, for design of a combined electrochromic and electrocatalytic hydrogen evolution system where the transmission properties are in focus, Ni foam has to be replaced by other alternatives. Here, we deposited a WO3 film onto a transparent and electrically conducting ITO coated glass electrode and analyzed the charge incorporation, transmitted light, and coloration efficiency in a proof-of- concept for electrochromic HER.","we deposited a WO3 film onto a transparent and electrically conducting ITO coated glass electrode and analyzed the charge incorporation, transmitted light, and coloration efficiency in a proof-of- concept for electrochromic HER. 
",the above reported results are from a Ni foam supported approach where the electrochromic properties of the catalyst can be used to study the state or the health of the cathodic catalyst by viewing the surface color. reflectance modulations are
"The non-parametric Wilcoxon test was performed using JMP® software (Abacus Concepts, Berkeley, CA). The comparative results of Firmicutes/Bacteroidetes ratios were visualized as box-and-whisker plots showing: the median and the interquartile (midspread) range (boxes containing 50% of all values), the whiskers (representing the 25th and 75th percentiles) and the extreme data points. Statistical significance was accepted at P < 0.05.","The non-parametric Wilcoxon test was performed 
",The comparative results of Firmicutes/Bacteroidetes ratios were visualized as box-and-whisker plots showing the median and the interquartile range (boxes containing 50% of all
"For the development of healthy and environmentally- sustainable food systems in the future, production and consumption need to be considered in an integrated manner [2, 271]. While an evaluation of overall impacts of different food systems on environmental sustainability would be highly desirable [270], the present review has attempted to assess the human health issues in regard to organic production methods and consumer preferences for organic food, both important aspects of sustainability.","
","For the development of healthy and environmentally- sustainable food systems in the future, production and consumption need to be considered in an integrated manner"
"Koopman operator theory, originally proposed in 1931 by B.O Koopman [7] defines the necessary method to map any nonlinear dynamical system to an infinite-dimensional linear system. For the purpose of completeness in this letter, we show the implementation of Koopman Theory through EDMDc. Al- though the 2BP system is an uncontrolled system, the control input in both the data generation and learning framework can be set to zero. This results in straight EDMD as the data driven method for the discovery of the Koopman operator. Suppose we have a controlled discrete-time nonlinear dynamical system defined as xk+1 = f (xk, uk) (1)","defines the necessary method to map any nonlinear dynamical system to an infinite-dimensional linear system. 
 the 2BP system is an uncontrolled system, the control input in both the data generation and learning framework can be set to zero. 
 This results in straight EDMD as the data driven method for the discovery of the Koopman operator. 
",
"The main reasons given by the respondents for practicing oral sex were preventing pregnancy 95.9% (142), minimizing risk of HIV acquisition 86.5% (128), preserving virginity 85.8% (127), and reducing the risk of STIs transmission 80.4% (119). (See Figure 1).","The main reasons given by the respondents for practicing oral sex were preventing pregnancy 95.9% 
 minimizing risk of HIV acquisition 86.5% 
 preserving virginity 85.8% 
 and reducing the risk of STIs transmission 80.4% 
",The main reasons given by the respondents for practicing oral sex were preventing pregnancy 95.9% minimizing risk of HIV acquisition 86.5% preserving virginity 85.8% and reducing the risk of STIs transmission 80.
"The second theoretical model calculated under the assumption of bubble size similar to or larger than pore channel size in the catalyst is consistent with the results of the SECM measurement data. This implies that the bubbles having a size similar to or larger than that of the pores determines the frequency of bubble formation and removal from the catalyst layer. We characterized and conﬁrmed the larger bubbles that must be formed by the coalescence within the 3D catalyst layer via a dynamic light scattering (DLS, Fig. 4c) analysis on the electrolyte, where we conducted LSV once with different 3D geometries (WP 1200 and PWP1200). The larger bubble size (2838 nm) from the PWP1200 structure was estimated to be 19% larger than that (2381 nm) of the bubbles from the more open and ordered WP1200 samples. These results lead us to conclude that the bigger bubbles from PWP tend to have a larger size because of the longer residence time in the catalyst layer, which conﬁrms the second hypothesis (B).","The second theoretical model calculated under the assumption of bubble size similar to or larger than pore channel size in the catalyst is consistent with the results of the SECM measurement data. 
 This implies that the bubbles having a size similar to or larger than that of the pores determines the frequency of bubble formation and removal from the catalyst layer. 
 the bigger bubbles from PWP tend to have a larger size because of the longer residence time in the catalyst layer 
",The second theoretical model calculated under the assumption of bubble size similar to or larger than pore channel size in the catalyst is consistent with the results of the SECM measurement data. this implies that the bubbles having a size similar to or larger
"Studies on oral and anal sex practices and the associated factors among youth in Ethiopia are scarce. In addition, most studies use individual factors as a predictor to sexual behavior while the sexual behavior of young people is influenced by a multitude of factors. The ecological framework, however, looks into the individual, parental and peer influences on youth sexual behavior. Therefore, understanding the determinants of oral and anal sex using the ecological framework is crucial. Thus, it was the purpose of this study to describe oral and anal sex practices and identify associated fac- tors among high school youth. In effect, this research provides the basis for the designing and implementation of effective preventive interventions that seek to minimize sexual risk behavior and, thereby reducing the incidence of HIV and STIs. This research also seeks to inform clinical practice, education and counseling guidelines.","it was the purpose of this study to describe oral and anal sex practices and identify associated fac- tors among high school youth. 
","most studies use individual factors as a predictor to sexual behavior while the sexual behavior of young people is influenced by a multitude of factors. The ecological framework, however, looks into the individual, parental and peer influences on youth sexual behavior"
"Feed iodine supplementation is not linked by regulation to the production system in the EU, as iodine is listed as approved feed additive, and the maximum amount of supplementation is the same for all milk pro- duction. Optimum dairy cow supplementation should be seen in relation to other national strategies for human iodine intake. This should also take into account human subpopulations with low or no intake of dairy products.","Optimum dairy cow supplementation should be seen in relation to other national strategies for human iodine intake. 
",Optimum dairy cow supplementation should be seen in relation to other national strategies for human iodine intake.
"The discourse-world of the prison reading group under study involved five participants (a facilitator and four prisoners) sharing the same spatio-temporal environment, a room in the education block of a Belfast prison. As was the case for every reading session, I read the text aloud stopping often at points to allow for reflection and responses. These pauses are naturally occurring in that the prisoners often interject when they want to comment or question the goings-on in the text. As facilitator, I also initiated pauses at key events in the plot as a way of encouraging interaction, or as a response to non-verbal cues from within the group that signalled a desire to probe the text further. The goings-on in Chopin’s The Story of an Hour generated a range of responses that arose during some of these brief pauses, from suspicion, ‘do you think Richards had something to do with it?’ (prisoner A), to surprise at ‘Mrs Mallard’s reaction’ upon hearing the news of her husband’s death. This ‘reaction’ is not Mrs Mallard’s per se, but relates to the ‘happy’ (as one prisoner put it) narrative descriptions of the setting (paragraphs 5 and 6 outlined below) which the prisoners believed were incongruous when placed alongside Mrs Mallard’s solitary grieving: ‘She could see in the open square before her house the tops of trees that were all aquiver with the new spring life. The delicious breath of rain was in the air. In the street below a peddler was crying his wares. The notes of a distant song which someone was singing reached her faintly, and countless sparrows were twittering in the eaves. There were patches of blue sky […]’ [my emphasis]","The discourse-world of the prison reading group under study involved five participants 
 sharing the same spatio-temporal environment 
 As was the case for every reading session, I read the text aloud stopping often at points to allow for reflection and responses. 
 I also initiated pauses at key events in the plot as a way of encouraging interaction, or as a response to non-verbal cues from within the group that signalled a desire to probe the text further. 
","As was the case for every reading session, I read the text aloud stopping often at points to allow for reflection and responses. As facilitator, I also initiated pauses at key events in the plot as a way of encouraging interaction"
"Understanding the full range of sexual behaviors of young people is crucial in developing appropriate interventions to prevent and control sexually transmitted infections including HIV. However, such information is meager in developing countries. The objective of this study was to describe oral and anal sex practices and identify associated factors among high school youth.","Understanding the full range of sexual behaviors of young people is crucial in developing appropriate interventions to prevent and control sexually transmitted infections including HIV. 
 The objective of this study was to describe oral and anal sex practices and identify associated factors among high school youth. 
",Understanding the full range of sexual behaviors of young people is crucial in developing appropriate interventions to prevent and control sexually transmitted infections including HIV.
"A total of 27,680 complete scans were selected from the astraia© ultrasound database representing 12,368 pregnancies. Gender-specific fetal growth curves for biparietal diameter (BPD), head circumference (HC), abdominal circumference (AC), and femur length (FL) were derived. The HC and BPD were significantly larger in boys compared to girls from 20 weeks of gestation onwards (p < 0.001) equating to a 3-day difference at 20–24 weeks. Boys were significantly heavier, longer, and had greater head circumference than girls (p < 0.001) at birth. The Apgar score at 1 min (p = 0.01) and arterial cord pH (p < 0.001) were lower in boys.","Gender-specific fetal growth curves for biparietal diameter 
 head circumference 
 abdominal circumference 
 femur length 
 were derived. 
 The HC and BPD were significantly larger in boys compared to girls 
 Boys were significantly heavier, longer, and had greater head circumference than girls 
 at birth. 
 The Apgar score at 1 min 
  and arterial cord pH 
 were lower in boys. 
","The HC and BPD were significantly larger in boys compared to girls from 20 weeks of gestation onwards equating to a 3-day difference at 20–24 weeks. Boys were significantly heavier, longer, and had"
The W-defense is among the most prominent arguments for the principle of alternative possibilities (PAP). Here I offer some considerations in support of the W-defense and respond to what I see as the most forceful objections to it to date. My response to these objections invokes the well-known flicker of freedom response to Frankfurt cases. I argue that the W-defense and the flicker response are mutually reinforcing and together yield a compelling defense of PAP.,"The W-defense is among the most prominent arguments for the principle of alternative possibilities (PAP). 
 I argue that the W-defense and the flicker response are mutually reinforcing and together yield a compelling defense of PAP. 
",I offer some considerations in support of the W-defense and respond to what I see as the most forceful objections to it to date. My response to these objections invokes the well-known flicker of freedom response to Frankfurt
"The first step in the global textile supply chain is textile production, the process by which both natural and synthetic fibers are made. Approximately 90 % of clothing sold in the United States is made with cotton or polyester, both associated with significant health impacts from the manufacturing and production processes [6]. Polyester, a synthetic textile, is derived from oil, while cotton requires large amounts of water and pesticides to grow. Tex- tile dyeing results in additional hazards as untreated wastewater from dyes are often discharged into local water systems, releasing heavy metals and other toxicants that can adversely impact the health of animals in addition to nearby residents [6].","The first step in the global textile supply chain is textile production, the process by which both natural and synthetic fibers are made. 
 Approximately 90 % of clothing sold in the United States is made with cotton or polyester, both associated with significant health impacts from the manufacturing and production processes 
","The first step in the global textile supply chain is textile production, the process by which both natural and synthetic fibers are made. Approximately 90 % of clothing sold in the United States is made with cotton or polyester, both associated with significant"
"In contrast, the WP geometry was almost perfectly maintained even after 500 cycles of the degradation test, as shown in Supplementary Fig. 18, although they experienced similar amorphization and hydrated oxidation (Supplementary Fig. 16d–g) of the Ir-based OER catalysts in the acidic electrolyte. This structural robustness suggests that the inherent dissolution of Ir is the main factor underlying the gradual OER performance degradation of the WP structure. However, as shown in Supplementary Fig. 16c, the Ir dissolution rate was relatively smaller for the WP samples compared to Ir black. Previous studies reported that there is an apparent tendency of decelerated Ir dissolution in properly conﬁned nanostructures. Also, for our WP samples, the 4-layer 3D geometry having more conﬁned conditions improved the OER stability relative to the 2-layer structure (Supplementary Fig. 16b), suggesting that optimization of the 3D geometry may be able to provide a simultaneous inﬂuence on OER activity and stability.","the WP geometry was almost perfectly maintained even after 500 cycles of the degradation test 
 Ir dissolution rate was relatively smaller for the WP samples compared to Ir black. 
 optimization of the 3D geometry may be able to provide a simultaneous inﬂuence on OER activity and stability. 
","the WP geometry was almost perfectly maintained even after 500 cycles of the degradation test, as shown in Supplementary Fig. 16c, the Ir dissolution rate was relatively smaller for the WP samples compared to Ir black."
"In this study, water electrolysis of WO3 thin films for hydrogen production in the potential range pertinent to electrochromic coloring was examined. The results showed that WO3 under acidic conditions (0.5 M H2SO4) could compete with well-known non-precious catalysts for hydrogen production under alkaline conditions. Films of WO3 deposited on transparent substrates showed combined electrocatalytic and electrochromic properties, which were quantified and showed a change in transmission of visible light from 78% as an inactive electrocatalyst to 10% under the HER. The increased absorption in the film would be beneficial for increased heating of the catalyst area during operation if accessible by light or could be used for monitoring the charge state of the catalyst for process control. Monitoring of the charge state and health of the cathodic WO3 catalyst film could also be carried out in reflection mode either by a simple low angle diode monitoring the reflected light or by utilization of reflection from a partly reflecting OER electrode. In transmission mode, solar heat and visible light through the thin film catalyst is modulated under operation, which can provide electrochromic functionality to water splitting devices for monitoring the state of HER or even pointing the way to possible future building integration. However, the latter option requires transparent electrodes to be also employed for the OER. The highest STH efficiency obtained by combining A-CIGS materials with varying band gaps, with electrolyzer units using WO3 on Ni foam was about 13% for the range of WO3 thin films reported. The lowest HER overpotential we find for the deposited while being in the higher range of HER overpotentials reported for high surface area catalysts of iron-based phosphides (30–235 mV@10 mA cm-2) [46] and FeNi-layered double hydroxides (down to 59 mV@10 mA cm-2) [47]. Hetero-atom doping and strategies to increase the active surface area of WO3, however, have resulted in HER overpotentials down to 38 mV@10 mA cm-2 versus RHE [8] and show the promise for WO3-based catalyst systems that additionally al- lows electrochromic functionality. Utilization of a combined electro- chromic and water electrolytic effect can readily be utilized with monitoring capabilities, while a system for building integration and light flux control critically depends on transparent conducting electrodes for both HER and OER and requires more work on optimizing, for example, by increasing the surface area of transparent conducting electrodes, and at the same time minimize light scattering. This is indeed very challenging but would allow building-integrated hydrogen pro- duction with the added benefits of controlling the temperature or solar heat absorption by the tunable optical modulation of the electrochromic material.","In this study, water electrolysis of WO3 thin films for hydrogen production in the potential range pertinent to electrochromic coloring was examined. 
 The results showed that WO3 under acidic conditions (0.5 M H2SO4) could compete with well-known non-precious catalysts for hydrogen production under alkaline conditions. 
 Films of WO3 deposited on transparent substrates showed combined electrocatalytic and electrochromic properties, which were quantified and showed a change in transmission of visible light from 78% as an inactive electrocatalyst to 10% under the HER. 
 The increased absorption in the film would be beneficial for increased heating of the catalyst area during operation 
 Monitoring of the charge state and health of the cathodic WO3 catalyst film could also be carried out in reflection mode 
 In transmission mode, solar heat and visible light through the thin film catalyst is modulated under operation 
 The highest STH efficiency obtained by combining A-CIGS materials with varying band gaps, with electrolyzer units using WO3 on Ni foam 
 The lowest HER overpotential we find for the deposited 
 Hetero-atom doping and strategies to increase the active surface area of WO3, however, have resulted in HER overpotentials down 
 and show the promise for WO3-based catalyst systems that additionally al- lows electrochromic functionality. 
 Utilization of a combined electro- chromic and water electrolytic effect can readily be utilized with monitoring capabilities 
","In this study, water electrolysis of WO3 thin films for hydrogen production in the potential range pertinent to electrochromic coloring was examined. Films of WO3 deposited on transparent substrates showed combined electrocatalytic and electro"
"The connection of ballad with the goth genre is of general interest with regard to relations between the ballad as a song form and diverse popular music genres, since not all genres share the same representation of emotionality and sentimentality. In that sense, a goth ballad like “My Immortal” gains an intersecting affective potential from its ballad character as well as from its references to goth. This becomes particularly clear when comparing this example to Aerosmith’s “Don’t Wanna Miss A Thing.” While that power ballad enables Aerosmith to approach emotions such as love despite their rock band status (Metzer 2012, p. 439), such a contradiction does not apply to Evanescence due to the affective overlap between the goth genre and the ballad. The same overlap concerns Amy Lee being a female singer with the connotation of both the goth genre and ballads with femineity.","The connection of ballad with the goth genre is of general interest with regard to relations between the ballad as a song form and diverse popular music genres, since not all genres share the same representation of emotionality and sentimentality. 
 The same overlap concerns Amy Lee being a female singer with the connotation of both the goth genre and ballads with femineity. 
","The connection of ballad with the goth genre is of general interest with regard to relations between the ballad as a song form and diverse popular music genres, since not all genres share the same representation of emotionality and"
"The optical transmittance of the WO3 film was recorded in situ in the visible range with a setup that has a light-emitting diode (LED) and a photodiode sensor. The LED emitted light peaking at a wavelength of 528 nm, which is close to the middle of the luminous spectrum, and with a full width at half maximum of 33 nm for the intensity distribution. The 100-%-level for optical transmittance was taken as the value recorded with nothing but electrolyte in the cell.","The optical transmittance of the WO3 film was recorded in situ in the visible range with a setup that has a light-emitting diode (LED) and a photodiode sensor. 
","The LED emitted light peaking at a wavelength of 528 nm, which is close to the middle of the luminous spectrum, and with a full width at half maximum of 33 nm for the intensity distribution"
"Collectively the published meta-analyses indicate a modestly higher content of phenolic compounds in organic food, but the evidence available does not constitute a sufficient basis for drawing conclusions on positive effects of organic compared to conventional plant products in regard to human health.","Collectively the published meta-analyses indicate a modestly higher content of phenolic compounds in organic food, but the evidence available does not constitute a sufficient basis for drawing conclusions on positive effects of organic compared to conventional plant products in regard to human health. 
",
"I’ve just argued that the fine-grained response to Frankfurt cases can be used to reinforce the W-defense. Before proceeding, it’s worth noting that the W-defense can return the favor. A common criticism of the fine-grained response is that it’s too contrived, that it’s simply an ad hoc attempt to evade the intuitive force of Frankfurt cases. Robert Kane, for example, claims that the fine-grained response “artificially separates” blameworthiness for performing an action from blameworthiness for performing that action your own (1996: 41). And Michael Otsuka regards the response as “controversial, since it is arguable that one needs to draw too fine a distinction in order to maintain that Jones is blameworthy for [deciding on his own to break his promise] while at the same time denying that he is blameworthy for [deciding to break it]” (1998: 690).","
","the fine-grained response to Frankfurt cases can be used to reinforce the W-defense. Before proceeding, it’s worth noting that the W-defense can return the favor."
"The adjective ‘reasonable’ here is, of course, crucial. My friend might fail to live up to my normative expectations for her behavior and yet still not be an apt target of blame if my expectations are unreasonable. If they are, then the fact that my friend has failed to live up to those expectations clearly isn’t a legitimate basis for blaming or sanctioning her.","
","My friend might fail to live up to my normative expectations for her behavior and yet still not be an apt target of blame if my expectations are unreasonable. If they are, then the fact that my friend has failed to live up to"
"In this study, WP-structured Ir catalysts were designed and successfully fabricated via a high-resolution printing process to enable extremely high mass activity in the OER, which is driven by both high ECSA and ECSA-speciﬁc activity. A half-cell test demonstrates that the WP catalyst generated 4.8-times higher mass activity than the Ir black nanoparticles despite no difference in the physiochemical properties. More strikingly, when applied to a single-cell PEMWE device, the new catalyst achieved far more enhanced mass activity, up to 30 times that of Ir black. Systematic tuning of the 3D geometry and NW building blocks revealed that O2 bubble transport, which was characterized with SECM, is a key parameter in improving the performance of the OER catalysts, providing practical design rules for more efﬁcient OER catalysts. We expect that these outcomes will provide a large step toward the development of highly feasible OER catalysts by simply controlling their 3D microstructures even without any change of physiochemical characteristics. Therefore, there will be abundant room for further improving the OER performance of our WP-structured catalysts via synergistic combination with other approaches based on new elemental compositions.","WP-structured Ir catalysts were designed and successfully fabricated via a high-resolution printing process to enable extremely high mass activity in the OER, which is driven by both high ECSA and ECSA-speciﬁc activity. 
 A half-cell test demonstrates that the WP catalyst generated 4.8-times higher mass activity than the Ir black nanoparticles despite no difference in the physiochemical properties. 
 when applied to a single-cell PEMWE device, the new catalyst achieved far more enhanced mass activity, up to 30 times that of Ir black. 
 Systematic tuning of the 3D geometry and NW building blocks revealed that O2 bubble transport, which was characterized with SECM, is a key parameter in improving the performance of the OER catalysts 
","In this study, WP-structured Ir catalysts were designed and successfully fabricated via a high-resolution printing process to enable extremely high mass activity in the OER, which is driven by both high ECSA and E"
"In 2015, over 50.9 million hectares, in 179 countries around the world, were cultivated organically, including areas in conversion [4]. The area under organic management (fully converted and in-conversion) has increased during the last decades in the European Union, where binding standards for organic production have been developed [5, 6]. In the 28 countries forming the EU today, the fraction of organically cultivated land of total agricultural area has been steadily increasing over the last three de- cades. 0.1%, 0.6%, 3.6%, and 6.2% of agricultural land were organic in 1985, 1995, 2005, and 2015, respectively, equalling 11.2 million ha in 2015 [7–9]. In 7 EU Member States, at least 10% of the agricultural land is organic [7]. In 2003, 125,000 farms in the EU were active in organic agriculture, a number that increased to 185,000 in 2013 [10]. Between 2006 and 2015, the organic retail market has grown by 107% in the EU, to €27.1 billion [7].","In the 28 countries forming the EU today, the fraction of organically cultivated land of total agricultural area has been steadily increasing over the last three de- cades. 
 In 7 EU Member States, at least 10% of the agricultural land is organic 
 ","In the 28 countries forming the EU today, the fraction of organically cultivated land of total agricultural area has been steadily increasing over the last three de- cades. Between 2006 and 2015, the organic retail market has grown by"
