,Paragraph,Chunk,File_name,n_chunks
122,"Unfortunately, epidemiological evidence linking pesticide exposure and human health effects is rarely regarded as sufficiently reliable to take into account in the risk assessment conducted by regulatory agencies. For example, the conclusion from the epidemiological studies on chlorpyrifos is that an association of prenatal chlorpyrifos exposure and adverse neurodevelopmental outcomes is likely, but that other neurotoxic agents can- not be ruled out, and that animal studies show adverse effects only at 1000-fold higher exposures [141]. A recent decrease of the maximum residue limit for chlorpyrifos in several crops [142, 143] was based on animal studies only [144], but the limits for the sister com- pound, chlorpyrifos-methyl were unchanged. This case highlights a major limitation to current approaches to protecting the general population against a broad variety of pesticides.","epidemiological evidence linking pesticide exposure and human health effects is rarely regarded as sufficiently reliable to take into account in the risk assessment conducted by regulatory agencies. 
",Human health implications,1
123,"Fertilisation in organic agriculture is based on organic fertilisers such as farmyard manure, compost and green fertilisers, while some inorganic mineral fertilisers are used as supplements. Nitrogen (N) input is limited to 170 kg/ha * year [5, 145]. In conventional agriculture, fertilisation is dominated by mineral fertiliser, although farmyard manure is also common in some countries. There is no general limit on N input. Typically, crop yield is limited by plant N availability in organic but not in conventional systems [146] Phosphorus (P) input is on average similar or slightly lower in organic systems [147].","Typically, crop yield is limited by plant N availability in organic but not in conventional systems 
 Phosphorus (P) input is on average similar or slightly lower in organic systems 
",Human health implications,2
124,"In the absence of particular nutrient deficiency, focusing on single nutrients may be of limited value for evaluating the impact of a food or diet on human health [49]; studies of actual health effects, as discussed above, are generally more informative than studies of single nutrients.","studies of actual health effects, as discussed above, are generally more informative than studies of single nutrients. 
",Human health implications,1
125,"Metabolomics [148–152], proteomics [153, 154] and transcriptomics [155, 156] studies in controlled field trials provide evidence that the production system has an overall influence on crop development, although there is no direct relevance of these studies for human health. Furthermore, the generally lower crop yield in organic systems [146] as such indicates an effect of management strategy on plant development.","Metabolomics 
 proteomics 
 and transcriptomics 
 studies in controlled field trials provide evidence that the production system has an overall influence on crop development, although there is no direct relevance of these studies for human health. 
 the generally lower crop yield in organic systems 
 as such indicates an effect of management strategy on plant development. 
",Human health implications,6
126,"Several systematic reviews and meta-analyses [25, 157–159] with different scopes, inclusion criteria and statistical methods have summarised several hundred original studies reporting some aspect of plant chemical composition in relation to conventional and organic production, in search of overall trends across crops, varieties, soils, climates, production years etc. While the overall conclusions of these systematic reviews look contradictory at first sight, there is agreement between them in most of the detailed findings:","
",Human health implications,1
127,"Existing systematic reviews have consistently found lower total nitrogen (7% [157], 10% [159]) and higher phosphorus (standardised mean difference (SMD) 0.82 [25], 8% [157]) in organic compared to conventional crops. These findings lack direct relevance for human health. However, considering the differences in fertilisation strategies discussed above, and the fundamental importance of N, P [160–162], and the N:P ratio [163] for plant development, this may lend some plausibility to other observed effects of the production system on crop composition.","considering the differences in fertilisation strategies discussed above, and the fundamental importance of N, P 
, and the N:P ratio 
 for plant development, this may lend some plausibility to other observed effects of the production system on crop composition. 
",Human health implications,3
128,"Systematic reviews generally agree that the concentration of macronutrients, vitamins, and minerals in crops is either not at all or only slightly affected by the production system. For example, ascorbic acid (vitamin C) has received most attention in this con- text. Meta-analyses report only small effect sizes of the organic production system on vitamin C content [25, 158, 159].","the concentration of macronutrients, vitamins, and minerals in crops is either not at all or only slightly affected by the production system. 
",Human health implications,1
129,"(Poly)phenolic compounds are not essential nutrients for humans but may play a role in preventing several non-communicable diseases, including cardiovascular disease, neurodegeneration and cancer [164]. The detailed mechanisms are complex and not fully understood [164]. Several environmental and agronomic practices affect the phenolic composition of the crop, including light, temperature, availability of plant nutrients and water management [165]. Under conditions of high nitrogen availability, many plant tissues show a decreased content of phenolic com- pounds, although there are examples of an opposite relationship [165].","(Poly)phenolic compounds are not essential nutrients for humans but may play a role in preventing several non-communicable diseases, including cardiovascular disease, neurodegeneration and cancer 
 Several environmental and agronomic practices affect the phenolic composition of the crop, including light, temperature, availability of plant nutrients and water management 
 Under conditions of high nitrogen availability, many plant tissues show a decreased content of phenolic com- pounds, although there are examples of an opposite relationship 
",Human health implications,3
130,"Meta-analyses report modest effect sizes of the pro- duction system on total phenolics content, e.g. an in- crease of 14 – 26% [25, 158, 159]. For some narrower groups of phenolic compounds, larger relative con- centration differences (in percent) between organic and conventional crops have been reported [159]. However, such findings represent unweighted averages typically from small and few studies, and are therefore less reliable.","
",Human health implications,1
131,"Collectively the published meta-analyses indicate a modestly higher content of phenolic compounds in organic food, but the evidence available does not constitute a sufficient basis for drawing conclusions on positive effects of organic compared to conventional plant products in regard to human health.","Collectively the published meta-analyses indicate a modestly higher content of phenolic compounds in organic food, but the evidence available does not constitute a sufficient basis for drawing conclusions on positive effects of organic compared to conventional plant products in regard to human health. 
",Human health implications,1
132,"Cadmium (Cd) is toxic to the kidneys, can demineralise bones and is carcinogenic [166]. Cd is present naturally in soils, and is also added to soils by P fertilisers and atmospheric deposition. Several factors, including soil structure and soil chemistry, humus content and pH, affect the plant availability of Cd [167]. The application of Cd-containing fertilisers increases Cd concentrations in the crops [167, 168]. Low soil organic matter generally increases the availability of Cd for crops [169], and organically managed farms tend to have higher soil organic matter than conventionally managed farms [11].","Cadmium (Cd) is toxic to the kidneys, can demineralise bones and is carcinogenic 
 Cd is present naturally in soils, and is also added to soils by P fertilisers and atmospheric deposition. 
 Several factors, including soil structure and soil chemistry, humus content and pH, affect the plant availability of Cd 
 Low soil organic matter generally increases the availability of Cd for crops 
 and organically managed farms tend to have higher soil organic matter than conventionally managed farms 
",Human health implications,5
133,The source of Cd in mineral fertilisers is the raw material phosphate rock. The European average Cd content in mineral fertilisers is reported as 68 mg Cd/kg P [170] or 83 mg Cd/kg P [171]. The content of Cd in farmyard manure is variable but apparently in many cases lower: Various types of animal manure in a German collection averaged between 14 and 37 mg Cd/kg P [172].,"
",Human health implications,1
134,"Smith-Spangler et al. [25] found no significant difference in the Cd content of organic and conventional crops (SMD = −0.14, 95% CI -0.74 – 0.46) in their meta- analysis, while Barański et al. [159] report significantly 48% higher Cd concentration in conventional compared to organic crops (SMD = -1.45, 95% CI -2.52 to −0.39) in another meta-analysis largely based on the same underlying original studies, albeit with different inclusion criteria. We contacted the authors of these meta- analyses in order to understand this discrepancy. An updated version of the Barański meta-analysis, in which some inconsistencies have been addressed and which has been provided by the original authors [173], shows a significant 30% (SMD = −0.56, 95% CI -1.08 to −0.04) elevations of Cd contents in conventional compared to organic crops; in subgroup analysis, this difference is restricted to cereal crops. No updated meta-analysis was available for Smith-Spangler’s analysis [25]; apparently, two large well-designed studies with tendencies towards a lower Cd content in organic crops were not considered [174, 175] although they appear to fulfil the inclusion criteria. Also, a correction for multiple testing has been imposed, which may be overly conservative, given the prior knowledge that mineral fertilisers constitute an important source of Cd to soils and crops. It is unclear how these points would affect the results of Smith- Spangler’s meta-analysis.","a correction for multiple testing has been imposed, which may be overly conservative, given the prior knowledge that mineral fertilisers constitute an important source of Cd to soils and crops. 
",Human health implications,1
135,"There are short-term and long-term effects of Cd influx from fertilisers on the Cd content of crops [167] but no long-term study comparing Cd content in organic and conventional crops is available. In absence of such direct evidence, two long-term experiments indicate a higher slope in Cd concentration over time for minerally fertilised compared to organically fertilised cereal crops [176, 177], after over 100 years of growing.","There are short-term and long-term effects of Cd influx from fertilisers on the Cd content of crops 
 but no long-term study comparing Cd content in organic and conventional crops is available. 
",Human health implications,2
136,"A lower Cd content of organic crops is therefore plausible due to a lower Cd content in the fertilisers used in organic farming, and potentially due to higher soil organic matter in organic farmland. The general population’s Cd exposure is close to, and in some cases above, the tolerable intake and therefore their exposure to Cd should be reduced. For non-smokers, food is the primary source of exposure, with cereals and vegetables being the most important contributors [168].","A lower Cd content of organic crops is therefore plausible due to a lower Cd content in the fertilisers used in organic farming, and potentially due to higher soil organic matter in organic farmland. 
 The general population’s Cd exposure is close to, and in some cases above, the tolerable intake and therefore their exposure to Cd should be reduced. 
 For non-smokers, food is the primary source of exposure, with cereals and vegetables being the most important contributors 
",Human health implications,3
137,"For other toxic metals including lead, mercury and arsenic, no differences in concentration in organic and conventional crops have been reported [25, 159]. Uranium (U) is also present as a contaminant of concern in mineral P fertilisers [178], but less so in organic fertilisers [179], and consequently manure-based cropping systems have a lower U load than mineral-fertilised systems at equal P load [179]. Uranium appears to accumulate in mineral- fertilised soils [180], and agricultural activity may increase the U content of surface and groundwater [181, 182]. However, no evidence was found comparing uranium con- tents of organic and conventional products.","For other toxic metals including lead, mercury and arsenic, no differences in concentration in organic and conventional crops have been reported 
 Uranium (U) is also present as a contaminant of concern in mineral P fertilisers 
 but less so in organic fertilisers 
 and consequently manure-based cropping systems have a lower U load than mineral-fertilised systems at equal P load 
",Human health implications,4
138,"Regarding fungal toxins in crops, one meta-analysis has reported a lower contamination of organic compared to conventional cereal crops with deoxynivalenol (DON), produced by certain fusarium species [25]. Although not fully understood, fungicide applications may alter fungal communities on cereal leaves, potentially weakening disease-suppressive species [183, 184]. Also, crop rotations including non-cereal crops may contribute to lower infestation with fusarium [185], while N availability is positively associated with cereal DON content [186]. These factors give plausibility to the observed lower DON contamination in organic cereals. In the EU, the mean chronic exposure of toddlers, infants and children to DON is above the tolerable daily intake (TDI), with grains and grain-based products being the main contributors to total exposure. The TDI is based on decreased body weight gain observed in mice [187]. The production system does not have any observed effect on the concentration of ochratoxin A (OTA), another fungal toxin of importance in cereal production [25].","Regarding fungal toxins in crops, one meta-analysis has reported a lower contamination of organic compared to conventional cereal crops with deoxynivalenol (DON), produced by certain fusarium species 
 crop rotations including non-cereal crops may contribute to lower infestation with fusarium 
 while N availability is positively associated with cereal DON content 
 The production system does not have any observed effect on the concentration of ochratoxin A (OTA), another fungal toxin of importance in cereal production 
",Human health implications,4
139,"By regulation, herbivores in organic production receive at least 60% of their feed intake as roughage on a dry matter basis. Depending on the seasonal availability of pastures, roughage can be fresh, dried, or silage. Also omnivores in organic production receive roughage as part of their daily feed, and poultry has access to pasture [6]. Corresponding regulations are for the most part missing in conventional animal production. In consequence, feeding strategies in organic animal production include a higher fraction of roughage compared to conventional systems, e.g. for dairy cows [188, 189].","By regulation, herbivores in organic production receive at least 60% of their feed intake as roughage on a dry matter basis. 
 Corresponding regulations are for the most part missing in conventional animal production. 
 In consequence, feeding strategies in organic animal production include a higher fraction of roughage compared to conventional systems, e.g. for dairy cows 
",Human health implications,3
140,"Much of the focus of existing research on compositional differences of organic and conventional animal-based foods is on the fatty acid composition, with a major interest in omega-3 FAs due to their importance for human health. Some studies also address the content of minerals and vitamins.","
",Human health implications,1
141,"The FA composition of the feed is a strong determinant of the fatty acid composition of the milk, egg or meat [190, 191]. Grass and red clover, typical roughage feeds, contain between 30% and 50% omega-3 FA of total FA, while the concentrate feeds cereals, soy, corn, and palm kernel cake all contain below 10% omega-3 FA of total FA [190]. Like humans, farm animals turn a small part of dietary alpha-linolenic acid into long-chain omega-3 fatty acids with the help of elongase and desaturase enzymes.","The FA composition of the feed is a strong determinant of the fatty acid composition of the milk, egg or meat 
 Grass and red clover, typical roughage feeds, contain between 30% and 50% omega-3 FA of total FA, while the concentrate feeds cereals, soy, corn, and palm kernel cake all contain below 10% omega-3 FA of total FA 
 Like humans, farm animals turn a small part of dietary alpha-linolenic acid into long-chain omega-3 fatty acids with the help of elongase and desaturase enzymes. 
",Human health implications,3
142,"For cow’s milk, a recent meta-analysis reports conclusively an approximately 50% higher content of total omega-3 fatty acids (as percent of total fatty acids) in organic compared to conventional milk [192], generally confirming earlier reviews [25, 189]. Also, the content of ruminant FAs (a group of natural trans FAs produced in the cow’s rumen) is higher in organic milk. The content of saturated fatty acids, mono-unsaturated fatty acids and omega-6 PUFA was similar in organic and conventional milk [192].","The content of saturated fatty acids, mono-unsaturated fatty acids and omega-6 PUFA was similar in organic and conventional milk 
",Human health implications,1
143,"A considerable statistical heterogeneity in these findings is reported. Individual differences described above are based on results from between 11 and 19 included studies. The observed differences are plausible, because they are directly linked to differences in feeding regimens. It should also be noted that several other factors influence the fatty acid composition in milk [193]. Specifically, the season (indoor vs. outdoor) has an impact on the feeding regime [188] and therefore on the omega-3 content of milk. However, the content of omega-3 fatty acids is higher in organic milk during both the outdoor and indoor seasons [189].","the season (indoor vs. outdoor) has an impact on the feeding regime 
 and therefore on the omega-3 content of milk. 
 However, the content of omega-3 fatty acids is higher in organic milk during both the outdoor and indoor seasons 
",Human health implications,3
144,"For eggs, it is likewise well described that the FA com- position of the feed [190] and consequently the access to pasture [194, 195] such as in organic systems, is a strong determinant of the fatty acid composition of the egg. However, only few studies have compared the FA com- position in organic and conventional eggs [196] and a systematic review is not available. A higher omega-3 content of organic eggs is plausible but has not been documented.","For eggs, it is likewise well described that the FA com- position of the feed 
 and consequently the access to pasture 
 such as in organic systems, is a strong determinant of the fatty acid composition of the egg. 
",Human health implications,3
145,"A total of 67 original studies report compositional aspects of meat (mainly beef, chicken, lamb, and pork) from organic and conventional husbandry and were recently summarised in a meta-analysis [197]. Based on 23 and 21 studies respectively, the content of total PUFA and omega-3 PUFA was found to be significantly higher (23 and 47%, respectively) in organic compared to conventional meats. Weighted by average consumption in Europe, choosing organic instead of conventional meat, while maintaining a constant consumption, increased the intake of PUFA and omega-3 FA from meat by 17 and 22%, respectively [198]. These findings are plausible, especially in the case of omega-3 PUFA, considering the known differences in feeding regimens in organic and conventional production. However, few studies were available for each analysis, leaving many analyses with high uncertainty and poor statistical power. Further- more, fatty acid metabolism differs between ruminants and monogastric animals [190]. Also, the actual differences in feeding regimens between conventionally and organically raised animals may differ by species, and by country. The variation between studies and between species was large, and the overall reliability of these results is therefore lower compared to milk above. This meta-analysis therefore indicates a plausible increase in omega-3 contents in organic meats, but more well-designed studies are needed to confirm this effect [197].","Based on 23 and 21 studies respectively, the content of total PUFA and omega-3 PUFA was found to be significantly higher (23 and 47%, respectively) in organic compared to conventional meats. 
 fatty acid metabolism differs between ruminants and monogastric animals 
",Human health implications,2
146,"Dairy products account for 4–5% of the total PUFA intake in most European populations, while meat and meat products contribute another 7–23% [199]. The contribution of milk fat to omega-3 PUFA intake (approximated as intake of α-linolenic acid) has been estimated at 5–16% [200, 201], while meat contributes with 12–17% [201, 202]. The effect of exchanging organic for conventional dairy products on omega-3 PUFA intake while maintaining a constant consumption has not been examined rigorously. From the intake and composition data presented here, it can be estimated that choosing organic products would increase the aver- age dietary omega-3 PUFA intake by 2.5–8% (dairy) and by a less certain 2.5–4% (meat). A recent preliminary estimate based on FAO food supply data resulted in similar numbers [198]. For certain population groups and fatty acids, these numbers could be higher, and an increased omega-3 PUFA consumption is generally desirable, as some subpopulations have a lower-than- recommended intake of omega-3 PUFA [203]. However, overall, the effect of the animal production system on omega-3 PUFA intake is minor, and no specific health benefits can be derived. Furthermore, other dietary omega-3 PUFA sources, specifically certain plant oils and fish, are available that carry additional benefits [204–206]. The existence of specific health benefits of ruminant trans fatty acids (as opposed to industrial trans fatty acids) is indicated by some studies [207] but not strongly supported [208].  Taking into account the actually consumed amounts of ruminant trans fatty acids, this is likely lacking public health relevance [208].","The effect of exchanging organic for conventional dairy products on omega-3 PUFA intake while maintaining a constant consumption has not been examined rigorously. 
 From the intake and composition data presented here, it can be estimated that choosing organic products would increase the aver- age dietary omega-3 PUFA intake by 2.5–8% (dairy) and by a less certain 2.5–4% (meat). 
 overall, the effect of the animal production system on omega-3 PUFA intake is minor, and no specific health benefits can be derived. 
 other dietary omega-3 PUFA sources, specifically certain plant oils and fish, are available that carry additional benefits 
",Human health implications,4
147,"A recent meta-analysis points to a significantly higher content of iodine (74%) and selenium (21%) in conventional milk and of iron (20%) and tocopherol (13%) in organic milk based on six, four, eight and nine studies respectively [192]. Iodine deficiency during pregnancy and infancy leads to impairment of brain development in the offspring, while excess iodine intake is associated with similar effects, and the window of optimal iodine intake is relatively narrow [209]. Overall, iodine intake in Europe is low and mild deficiency is prevalent [210]. The preferred way of correcting deficiency is salt iodisation [210, 211], because salt is consumed almost universally and with little seasonal variation [212].","Iodine deficiency during pregnancy and infancy leads to impairment of brain development in the offspring, while excess iodine intake is associated with similar effects, and the window of optimal iodine intake is relatively narrow 
 iodine intake in Europe is low and mild deficiency is prevalent 
 The preferred way of correcting deficiency is salt iodisation 
 because salt is consumed almost universally and with little seasonal variation 
",Human health implications,4
148,"Feed iodine supplementation is not linked by regulation to the production system in the EU, as iodine is listed as approved feed additive, and the maximum amount of supplementation is the same for all milk pro- duction. Optimum dairy cow supplementation should be seen in relation to other national strategies for human iodine intake. This should also take into account human subpopulations with low or no intake of dairy products.","Optimum dairy cow supplementation should be seen in relation to other national strategies for human iodine intake. 
",Human health implications,1
149,"For tocopherol, selenium and iron, a higher content is generally desirable, and in the case of selenium milk is an important source. However, the concentration differences between organic and conventional milk are modest and based on a few studies only.","For tocopherol, selenium and iron, a higher content is generally desirable, and in the case of selenium milk is an important source. 
 the concentration differences between organic and conventional milk are modest and based on a few studies only. 
",Human health implications,2
150,"Overly prevalent prophylactic use of antibiotics in animal production is an important factor contributing to increasing human health problems due to resistant bacteria. Antibiotic use is strongly restricted in organic husbandry, which instead aims to provide good animal welfare and enough space in order to promote good animal health.","Overly prevalent prophylactic use of antibiotics in animal production is an important factor contributing to increasing human health problems due to resistant bacteria. 
 Antibiotic use is strongly restricted in organic husbandry, which instead aims to provide good animal welfare and enough space in order to promote good animal health. 
",Human health implications,2
151,"Antibiotics constitute an integral part of intensive ani- mal production today, and farm animals may act as important reservoirs of resistant genes in bacteria [213, 214]. It is reported that a substantial proportion (50 – 80%) of antibiotics are used for livestock production worldwide [215]. On a “per kg biomass” basis, in 2014, the amount of antimicrobial drugs consumed by farm animals was slightly higher than the antimicrobial drugs used for humans in the 28 EU/EEA countries surveyed, with substantial differences between countries regarding volumes and types of substances [216].","Antibiotics constitute an integral part of intensive ani- mal production today, and farm animals may act as important reservoirs of resistant genes in bacteria 
 It is reported that a substantial proportion (50 – 80%) of antibiotics are used for livestock production worldwide 
",Human health implications,2
152,"In recent decades, there have been increasing concerns that the use of antibiotics in livestock would contribute to impairing the efficiency of antibiotic treatment in human medical care [217]. Despite the lack of detailed information on transmission routes for the vast flora of antibiotic-resistant bacteria and resistance genes, there is a global need for action to reduce the emerging challenges associated with the reduced efficiency of antibiotics and its consequences for public health, as well as for the environment more generally [218, 219].","
",Human health implications,1
153,"The use of antibiotics may increase the economic out- come of animal production [220, 221], but the spreading of multi-resistant genes is not just a problem for the animal production sector alone. Negative effects are affecting parts of society not directly associated with livestock production. This means that the costs of side effects are borne by society in general and not primarily by the agricultural sector. However, the generalisation cannot be made that all antibiotic treatment in farm animals represents a hazard to public health [222, 223].","The use of antibiotics may increase the economic out- come of animal production 
  but the spreading of multi-resistant genes is not just a problem for the animal production sector alone. 
 Negative effects are affecting parts of society not directly associated with livestock production. 
 the generalisation cannot be made that all antibiotic treatment in farm animals represents a hazard to public health 
",Human health implications,4
154,"The use of antibiotics in intensive livestock production is closely linked to the housing and rearing conditions of farm animals. Specific conditions for conventional live- stock farming in different countries, as well as farmers’ attitudes, may differ between countries, e.g. conventional pig production at above EU animal welfare standards and farmers’ attitudes in Sweden [224, 225]. Conventional production is typically aiming for high production levels with restricted input resources such as space, feed etc., and these conditions may cause stress in the individual animal as it is unable to cope with the situation, e.g. in pig production [226, 227]. This means that higher stocking density, restricted space and barren environment are factors increasing the risk of the development of diseases, and therefore it is more likely that animals under these conditions need antibiotic treatments.","The use of antibiotics in intensive livestock production is closely linked to the housing and rearing conditions of farm animals. 
 This means that higher stocking density, restricted space and barren environment are factors increasing the risk of the development of diseases, and therefore it is more likely that animals under these conditions need antibiotic treatments. 
",Human health implications,2
155,"Organic production aims for less intensive animal pro- duction, which generally means that the animals have access to a more spacious and enriched environment, access to an outdoor range and restricted group sizes, and other preconditions [70]. This would ultimately de- crease the need for preventive medication of the animals as they can perform more natural behaviours and have more opportunity to maintain a good health. However, in practice, the health status of organic livestock is com- plex and disease prevention needs to be adapted to the individual farm [228]. A report on the consequences of organic production in Denmark demonstrates that meeting the requirements of organic production has several positive consequences in relation to animal welfare and health [70].","Organic production aims for less intensive animal pro- duction 
 This would ultimately de- crease the need for preventive medication of the animals as they can perform more natural behaviours and have more opportunity to maintain a good health. 
 the health status of organic livestock is com- plex and disease prevention needs to be adapted to the individual farm 
",Human health implications,3
156,"According to EU regulations, routine prophylactic medication of animals in organic production is not allowed. However, diseases should be treated immediately to avoid suffering, and the therapeutic use of anti- biotics is allowed, but with longer withdrawal periods than in conventional production [5]. Furthermore, products from animals treated more than three times during 12 months, or, if their productive lifecycle is less than 1 year, more than once, cannot be sold as organic [6]. This means that therapeutically the same antibiotics used in conventional farming may be used in organic farming, but under different conditions. For example, antibiotics mainly used for sub-therapeutic treatment as prophylaxis are never considered in organic production.","therapeutically the same antibiotics used in conventional farming may be used in organic farming, but under different conditions. 
",Human health implications,1
157,"While the organic regulations aim for a low use of antibiotics in livestock production, the actual use of anti- biotic drugs in European organic compared to conventional animal husbandry is not comprehensively documented. Scattered studies indicate that the anti- biotic use generally is substantially higher in conventional compared to organic systems, especially for pigs (approximately 5 – 15-fold higher) [229, 230]. In studies from Denmark [231] and the Netherlands [232], the antibiotic use in dairy cows was 50% and 300% higher in conventional compared to organic systems, although a Swedish study found no differences in disease treatment strategies between organic and conventional dairy farms, e.g. for mastitis [233]. While only sparingly documented (e.g. [234, 235]), there is only little use of antibiotics in EU organic broiler production. This is a consequence of regulations prohibiting prophylactic use and prescribing long withdrawal periods before slaughter [6, 236], in conjunction with the fact that it is not feasible to treat single animals in broiler flocks. In conventional broiler production, antibiotic use is common (e.g. [237–239]).","Scattered studies indicate that the anti- biotic use generally is substantially higher in conventional compared to organic systems, especially for pigs 
 In conventional broiler production, antibiotic use is common 
",Human health implications,2
158,"Recently, gene sequencing has revealed that the routes of transmission of resistance genes between human and farm animal reservoirs seem to be complex [213, 222, 240]. Nevertheless, a recent EFSA report found that “in both humans and animals, positive associations between consumption of antimicrobials and the corresponding resistance in bacteria were observed for most of the combinations investigated” [241], which has subsequently been strengthened [216]. In addition to direct transmission between animals and humans via contact or via food, resistant strains and resistance genes may also spread into the environment [242].","Recently, gene sequencing has revealed that the routes of transmission of resistance genes between human and farm animal reservoirs seem to be complex 
 a recent EFSA report found that “in both humans and animals, positive associations between consumption of antimicrobials and the corresponding resistance in bacteria were observed for most of the combinations investigated” 
 In addition to direct transmission between animals and humans via contact or via food, resistant strains and resistance genes may also spread into the environment 
",Human health implications,3
159,"Previously, it has been postulated that a reduced need and use of antibiotics in organic livestock production will diminish the risk of development of antibiotic resistance [243], and this has also been demonstrated with regard to resistant E. coli in organic pigs compared to conventional pigs [244]. It has also been shown that the withdrawal of prophylactic use of antibiotics when poultry farms are converted from conventional to organic production standards leads to a decrease in the prevalence of antibiotic-resistant Salmonella [245].","the withdrawal of prophylactic use of antibiotics when poultry farms are converted from conventional to organic production standards leads to a decrease in the prevalence of antibiotic-resistant Salmonella 
",Human health implications,1
160,Resistant bacteria may be transferred within the production chain from farm to fork [246]. It has been found that organic livestock products are less likely to harbour resistant bacteria in pork and chicken meat [25].,"It has been found that organic livestock products are less likely to harbour resistant bacteria in pork and chicken meat 
",Human health implications,1
161,"In pig production, particular attention has been paid to methicillin-resistant Staphylococcus aureus (MRSA), and in Dutch and German studies, for example, MRSA has been isolated in 30 and 55% respectively of all pigs tested [247, 248]. Furthermore, it has been found that healthy French pig farmers are more likely to carry MRSA than control persons [249] and that they carry similar strains of MRSA to those found on their pig farms [250]. However, the prevalence of MRSA in pig production may differ between conventional and organic farms, and in a meta-study in 400 German fattening pig herds, the odds ratio (OR) for MRSA prevalence was 0.15 (95% CI 0.04, 0.55) in organic (n = 23) compared to conventional (n = 373) pig farms [248]. Multivariate adjustment for potential risk factors rendered this association non-significant, suggesting that it was carried by other factors, including factors that are regulated in or associated with organic production, such as non-slatted floors, no use of antibiotics, and farrow-to-finish herd types. Furthermore, even if there are considerable differences in antibiotic use between countries, it has been found that antibiotic resistance is less common in organic pigs compared to conventional pigs in France, Italy, Denmark, and Sweden [251, 252].","Multivariate adjustment for potential risk factors rendered this association non-significant, suggesting that it was carried by other factors, including factors that are regulated in or associated with organic production, such as non-slatted floors, no use of antibiotics, and farrow-to-finish herd types. 
",Human health implications,1
162,"Although it is rare for conventional farms to adopt knowledge about management and housing from organic production except when converting farms in line with organic standards, there may be options to improve animal health and welfare by knowledge transfer to conventional farms in order to reduce the use of antibiotics [253].","
",Human health implications,1
163,"Within organic production, labelling requires full traceability in all steps in order to guarantee the origin of the organic products being marketed [5]. Application of the general principle of organic regulations about transparency throughout the food chain can be used to mitigate emerging problems of transmission of anti- microbial resistance. However, transition to organic pro- duction for the whole livestock sector would, on its own, be only part of a solution to the antibiotics resistance issue, because factors outside animal production, such as their use in humans, will be unaffected.","Within organic production, labelling requires full traceability in all steps in order to guarantee the origin of the organic products being marketed 
",Human health implications,1
164,"An assessment of the human health effects associated with diets based on organic food production must rely on two sets of evidence. The first set of evidence is the epidemiological studies comparing population groups with dietary habits that differ substantially in regard to choices of organic v. conventional products. These studies are to some extent complemented by experimental studies using animal models and in vitro models. The second set of data relies on indirect evidence such as chemical analyses of food products and their contents of nutrients and contaminants or antibiotic use and resistance patterns, in consequence of agricultural production methods. Both sets of results are associated with certain strengths and weaknesses.","The first set of evidence is the epidemiological studies comparing population groups with dietary habits that differ substantially in regard to choices of organic v. conventional products. 
 These studies are to some extent complemented by experimental studies using animal models and in vitro models. 
 he second set of data relies on indirect evidence such as chemical analyses of food products and their contents of nutrients and contaminants or antibiotic use and resistance patterns, in consequence of agricultural production methods. 
",Human health implications,3
165,"The few human studies that have directly investigated the effects of organic food on human health have so far yielded some observations, including indications of a lower risk of childhood allergies, adult overweight/obesity [18, 46] and non-Hodgkin lymphoma (but not for total cancer) [37] in consumers of organic food. Owing to the scarcity or lack of prospective studies and the lack of mechanistic evidence, it is presently not possible to determine whether organic food plays a causal role in these observations. However, it has also been observed that consumers who prefer organic food have healthier dietary patterns overall, including a higher consumption of fruit, vegetables, whole grains, and legumes and a lower consumption of meat [18, 29, 37]. This leads to some methodological difficulties in separating the potential effect of organic food preference from the potential effect of other associated lifestyle factors, due to residual confounding or unmeasured confounders. These dietary patterns have in other contexts been associated with a decreased risk of several chronic diseases, including diabetes and cardiovascular disease [30–36]. It is therefore expected that consumers who regularly eat organic food have a decreased risk of these diseases compared to people consuming conventionally- produced food, as a consequence of dietary patterns. These dietary patterns appear also to be more environ- mentally sustainable than average diets [254].","The few human studies that have directly investigated the effects of organic food on human health have so far yielded some observations, including indications of a lower risk of childhood allergies, adult overweight/obesity 
 and non-Hodgkin lymphoma 
 in consumers of organic food. 
 it has also been observed that consumers who prefer organic food have healthier dietary patterns overall, including a higher consumption of fruit, vegetables, whole grains, and legumes and a lower consumption of meat 
 These dietary patterns have in other contexts been associated with a decreased risk of several chronic diseases, including diabetes and cardiovascular disease 
consumers who regularly eat organic food have a decreased risk of these diseases compared to people consuming conventionally- produced food, as a consequence of dietary patterns. 
",Human health implications,6
166,"Food analyses tend to support the notion that organic foods may have some health benefits. Consumers of organic food have a comparatively low dietary exposure to pesticides. Although chemical pesticides undergo a comprehensive risk assessment before market release in the EU, there are important gaps in this risk assessment. In some cases, specifically for cognitive development during childhood as an effect of organophosphate insecticide exposure during pregnancy, epidemiological studies provide evidence of adverse effects [140, 255]. Organic agriculture allows for lower pesticide residues in food and may be instrumental in conventional agriculture’s transition towards integrated pest management by providing a large-scale laboratory for non- chemical plant protection.","Consumers of organic food have a comparatively low dietary exposure to pesticides. 
 In some cases, specifically for cognitive development during childhood as an effect of organophosphate insecticide exposure during pregnancy, epidemiological studies provide evidence of adverse effects 
",Human health implications,2
